Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-05-29 12:40:00,2024-05-29 15:00:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 15:10:00,2024-05-29 17:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 16:10:00,2024-05-29 18:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 17:50:00,2024-05-29 20:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 20:50:00,2024-05-29 23:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 08:00:00,2024-05-29 10:10:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,139.0,21.0
2024-05-29 15:20:00,2024-05-29 17:30:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,142.0,23.0
2024-05-29 19:50:00,2024-05-29 22:00:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,139.0,21.0
2024-05-29 21:20:00,2024-05-29 23:30:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,134.0,17.0
2024-05-29 02:35:00,2024-05-29 04:45:00,CAI,JED,EgyptAir,2 hr 10 min,353.0,0,,2024-05-27,457.0,297.0
2024-05-30 23:35:00,2024-05-31 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,80.0,0,,2024-05-27,110.0,0.0
2024-05-30 09:25:00,2024-05-30 11:50:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-30 06:00:00,2024-05-30 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,107.0,0,,2024-05-27,117.0,0.0
2024-05-30 11:35:00,2024-05-30 13:50:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-05-30 01:15:00,2024-05-30 03:40:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-30 15:35:00,2024-05-30 18:00:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-30 18:10:00,2024-05-30 20:35:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-30 22:00:00,2024-05-31 00:25:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-30 19:05:00,2024-05-30 21:30:00,CAI,JED,Flynas,2 hr 25 min,104.0,0,,2024-05-27,97.0,-16.0
2024-05-30 18:55:00,2024-05-30 21:15:00,CAI,JED,Air Cairo,2 hr 20 min,111.0,0,,2024-05-27,115.0,0.0
2024-05-30 09:45:00,2024-05-30 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,112.0,0,,2024-05-27,110.0,0.0
2024-05-30 04:50:00,2024-05-30 07:05:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,122.0,6.0
2024-05-30 12:45:00,2024-05-30 15:00:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,110.0,0.0
2024-05-30 03:45:00,2024-05-30 06:05:00,CAI,JED,Air Cairo,2 hr 20 min,118.0,0,,2024-05-27,115.0,0.0
2024-05-30 10:20:00,2024-05-30 12:40:00,CAI,JED,Air Cairo,2 hr 20 min,118.0,0,,2024-05-27,113.0,0.0
